11:57:46 INFO  : Registering command handlers for SDK TCF services
12:23:12 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:23:14 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:24:43 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:24:43 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:24:46 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:25:29 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:25:29 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:25:31 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:26:14 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:26:14 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:26:16 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:26:47 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:26:47 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:26:49 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:27:19 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:27:19 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:27:21 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:27:41 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:27:41 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:27:43 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:28:00 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:28:00 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:28:03 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:28:35 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:28:35 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:28:37 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
12:29:22 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:29:23 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A4BC1EA" && level==0} -index 0' command is executed.
12:29:25 INFO  : FPGA configured successfully with bitstream "D:/project_1/project_1.sdk/design_1_wrapper_hw_platform_0/download.bit"
